,Total_floor,Curent_floor,Price,TotalSq,LiveSq,KichSq,RoomSq,new_or_not,house_type,pass_elevator,gruz_elevator,balkon,lodgya,visokiy_potolok,sovmest_sanuz,razdeln_sanuz,exist_sanuz,do_metro_peshkom,do_metro_mashina,past_year,future_year,latitude,longitude,sell_type,phone,status_doma,repair,parking,view_window,otdelka,metro_name
13,2,1,1880000.0,27.0,20.0,4.0,26.7,вторичка,,0,0,0,0,3.2,,1.0,,,,,,55.614922,37.318002,свободная,,,косметический,,двор,,
14,3,1,1890000.0,20.0,16.0,2.5,16,вторичка,,0,0,0,0,,1.0,,,,10.0,,,55.585057,37.468506,свободная,,,отсутствует,наземная,двор,,"Теплый Стан,"
15,14,1,1895000.0,15.0,12.0,3.0,,вторичка,,1,1,0,0,2.64,1.0,,,,,,,55.588272,37.646265,свободная,нет,,отсутствует,,двор,,
16,14,1,1895000.0,15.0,,,,вторичка,панельный дом,1,1,0,0,2.8,1.0,,,,11.0,2002.0,,55.588272,37.646265,свободная,,,косметический,наземная,,,"Пражская,"
17,3,1,1900000.0,34.8,18.1,10.8,18.1,новостройка,монолитный,1,1,1,0,,,1.0,,,37.0,2002.0,['2016'],55.49766,36.917628,свободная,,,,,двор,,"Саларьево,"
18,3,1,1950000.0,34.0,17.5,8.3,17.5,новостройка,монолитный,1,1,1,0,,,1.0,,,37.0,,['2016'],55.49766,36.917628,свободная,,,,,двор,,"Саларьево,"
19,4,2,1990000.0,38.0,19.0,10.0,19,вторичка,монолитный,0,0,0,1,3.0,1.0,,,,,,,55.612894,37.469611,свободная,нет,,косметический,подземная,двор,,
20,3,3,1990000.0,32.0,25.0,,32,вторичка,,0,0,0,0,,1.0,,,30.0,,2010.0,,55.52407,37.483786,свободная,да,,отсутствует,наземная,двор,,"Бунинская аллея,"
21,3,2,1990000.0,27.0,22.0,2.5,22,вторичка,кирпичный,0,0,0,0,,1.0,,,,,,,55.648382,37.322593,свободная,,,отсутствует,наземная,двор,,"Киевская,"
22,3,1,1990000.0,19.3,13.0,4.0,13,вторичка,,0,0,0,0,,1.0,,,,20.0,,,55.646675,37.323715,свободная,,,отсутствует,наземная,улица,,"Киевская,"
23,3,2,1990000.0,26.0,20.0,4.0,20,вторичка,,0,0,0,0,,1.0,,,,,,,55.648225,37.324668,свободная,,,отсутствует,наземная,двор,,"Киевская,"
24,3,3,1990000.0,32.0,20.0,6.0,20,вторичка,,0,0,0,0,,1.0,,,30.0,,,,55.52407,37.483786,свободная,,,отсутствует,наземная,двор,,"Бунинская аллея,"
25,4,3,1990000.0,24.6,10.0,6.0,10,вторичка,,0,0,0,1,3.0,1.0,,,,15.0,,,55.491804,37.552543,свободная,нет,,отсутствует,наземная,двор,,"Бунинская аллея,"
26,22,2,2090000.0,21.0,16.0,2.5,16,вторичка,,2,2,0,0,,1.0,,,,,2014.0,,55.503206,37.53685,свободная,,,отсутствует,наземная,двор,,"Бунинская аллея,"
27,3,2,2090000.0,26.0,22.0,,26,вторичка,блочный,0,0,0,0,3.0,,,нет,,15.0,,,55.496797,37.543147,свободная,,,отсутствует,наземная,,,"Бунинская аллея,"
28,10,2,9990000.0,54.1,34.9,8.4,34.900000000000006,вторичка,,0,0,0,2,2.64,,1.0,,7.0,,2014.0,,55.851738,37.43499,альтернатива,,,косметический,,двор,,"Сходненская,"
29,22,3,64000000.0,170.0,96.9,13.3,96.9,вторичка,,0,0,1,1,3.2,2.0,1.0,,10.0,,2007.0,,55.735525,37.453639,свободная,,,косметический,подземная,двор и улица,,"Пионерская,"
30,4,3,4990000.0,40.0,37.0,,37,вторичка,,1,1,0,0,4.8,1.0,,,10.0,,2012.0,,55.703464,37.640003,свободная,нет,апартаменты,дизайнерский,наземная,улица,,"ЗИЛ,"
31,12,1,2090000.0,17.5,,,,вторичка,,1,1,0,0,2.64,,,нет,9.0,,,,55.544377,37.55999,свободная,,,отсутствует,наземная,,,"Улица Скобелевская,"
32,10,1,2190000.0,15.0,12.0,3.0,12,вторичка,панельный дом,1,1,0,0,2.64,1.0,,,14.0,,2002.0,,55.529456,37.517761,свободная,,,косметический,наземная,двор,,"Бунинская аллея,"
