,Балкон:,Вид из окна:,Высота потолков:,Год постройки:,До метро,Жилая площадь:,Координаты,Лифт:,Метро,Общая площадь:,Отделка:,Парковка:,Площадь комнат:,Площадь кухни:,Раздельных санузлов:,Ремонт:,Санузел:,Сдача ГК:,Совмещенных санузлов:,Статус помещения:,Телефон:,Тип дома:,Тип продажи:,Цена,Этаж:
207,–,–,,,"15
                мин.
                
                    на машине",18 м2,"[37.393407,55.518958]",–,"Теплый Стан,",43 м2,,наземная,18 м2,11 м2,,косметический,нет,,,,,вторичка,свободная,3 300 000 руб.,3 / 3
208,1 балк.,двор,25 м,,"20
                мин.
                
                    пешком",16 м2,"[37.328827,55.500458]",–,"Теплый Стан,",27 м2,,наземная,16 м2,5 м2,1,косметический,,,,,нет,вторичка,свободная,3 300 000 руб.,2 / 5
209,1 балк.,–,"2,80 м",,"20
                мин.
                
                    на машине","19,8 м2","[37.355069,55.516569]",1 пасс. + 1 груз.,"Теплый Стан,","35,1 м2",,подземная,19.77 м2,"5,2 м2",1,,,2018 год,,,,"новостройка, 
            монолитный",переуступка,3 300 340 руб.,9 / 13
210,1 балк.,–,"2,80 м",,"20
                мин.
                
                    на машине","19,8 м2","[37.355143,55.518242]",1 пасс. + 1 груз.,"Теплый Стан,","35,1 м2",,подземная,19.77 м2,"5,2 м2",1,,,2018 год,,,,"новостройка, 
            монолитный",переуступка,3 300 340 руб.,9 / 13
211,нет,двор,,,"5
                мин.
                
                    на машине","14,1 м2","[37.484935,55.541158]",1 пасс. + 1 груз.,"Бунинская аллея,","28,5 м2",,,14.1 м2,"6,3 м2",,,,4 кв. 2018 года,1,,,"новостройка, 
            монолитный",свободная,3 311 700 руб.,14 / 18
212,1 балк.,–,"2,80 м",,"20
                мин.
                
                    на машине","20,0 м2","[37.355069,55.516569]",1 пасс. + 1 груз.,"Теплый Стан,","35,3 м2",,подземная,19.97 м2,"5,1 м2",1,,,2018 год,,,,"новостройка, 
            монолитный",переуступка,3 316 320 руб.,2 / 13
213,нет,двор и улица,,,"15
                мин.
                
                    пешком","23,3 м2","[37.510957,55.523648]",1 пасс. + 1 груз.,"Бунинская аллея,","28,6 м2",,,–,"23,3 м2",,,,—,1,,,"новостройка, 
            монолитный",свободная,3 319 949 руб.,13 / 17
214,нет,двор,3 м,,NA,12 м2,"[37.642689,55.820834]",1 пасс.,"ВДНХ,",17 м2,,,–,3 м2,,косметический,,,1,,,"вторичка, 
            кирпичный",альтернатива,3 328 000 руб.,2 / 8
215,–,–,,,"9
                мин.
                
                    пешком",17 м2,"[37.473458,55.869398]",2 пасс. + 1 груз.,"Речной вокзал,","27,5 м2",,,17 м2,–,,,,4 кв. 2018 года,1,,,"новостройка, 
            монолитный",214-ФЗ,3 330 000 руб.,2 / 17
216,1 балк.,двор,,,"20
                мин.
                
                    на машине",19 м2,"[37.321560,55.661338]",нет,"Румянцево,",31 м2,,,–,6 м2,,косметический,,,1,,нет,"вторичка, 
            кирпичный",свободная,3 335 000 руб.,4 / 4
217,–,–,,,"10
                мин.
                
                    пешком",12 м2,"[37.533798,55.649182]",2 пасс.,"Беляево,","17,8 м2",есть,,12 м2,–,1,,,дом сдан,,,,новостройка,предварительный договор,3 337 320 руб.,4 / 15
218,–,улица,,1973,"10
                мин.
                
                    пешком","17,8 м2","[37.533921,55.648997]",2 пасс.,"Беляево,","17,8 м2",,,"17,80 м2",–,1,евроремонт,,,,,нет,вторичка,свободная,3 337 320 руб.,4 / 15
219,1 балк.,улица,,,"10
                мин.
                
                    пешком",–,"[37.452291,55.590994]",1 пасс. + 1 груз.,"Саларьево,",34 м2,,,–,–,1,,,3 кв. 2019 года,,,,"новостройка, 
            кирпично-монолитный",свободная,"3 346 500 руб.

                

                    3 522 600 руб.",8 / 9
220,нет,двор,,,"10
                мин.
                
                    пешком","9,6 м2","[37.346206,55.841851]",1 пасс. + 1 груз.,"Митино,","21,4 м2",,,9.6 м2,5 м2,,,,2 кв. 2019 года,1,,,"новостройка, 
            монолитный",свободная,3 349 100 руб.,19 / 33
221,1 балк.,двор и улица,,2017,"40
                мин.
                
                    на машине","30,6 м2","[36.916518,55.497862]",–,"Саларьево,","51,5 м2",,наземная,"18,67-11,93 м2","11,7 м2",1,отсутствует,,,,,,"вторичка, 
            монолитный",свободная,3 350 000 руб.,2 / 3
222,нет,двор,,,"15
                мин.
                
                    на машине","14,2 м2","[37.481457,55.576680]",2 пасс. + 1 груз.,"Теплый Стан,","25,8 м2",,,14.2 м2,"4,6 м2",,,,1 кв. 2017 года,1,,,"новостройка, 
            кирпично-монолитный",свободная,3 354 000 руб.,12 / 21
223,–,–,,1973,"11
                мин.
                
                    пешком",12 м2,"[37.533921,55.648997]",2 пасс.,"Беляево,","17,8 м2",,,12 м2,–,1,евроремонт,,,,,,вторичка,свободная,3 357 080 руб.,2 / 15
224,нет,двор,,,"15
                мин.
                
                    на машине","14,6 м2","[37.481457,55.576680]",2 пасс. + 1 груз.,"Теплый Стан,","26,6 м2",,,14.6 м2,"3,3 м2",,,,4 кв. 2017 года,1,,,"новостройка, 
            кирпично-монолитный",свободная,3 359 580 руб.,9 / 17
225,1 балк.,двор,"3,20 м",1956,"10
                мин.
                
                    пешком",40 м2,"[37.576879,55.718633]",2 пасс.,"Спортивная,",62 м2,,наземная,20-20 м2,8 м2,1,отсутствует,,,,,да,"вторичка, 
            кирпичный",свободная,26 500 000 руб.,6 / 16
226,1 балк. + 1 лодж.,двор и улица,,,"9
                мин.
                
                    пешком",–,"[37.526531,55.795407]",1 пасс. + 1 груз.,"Аэропорт,","64,5 м2",,,–,–,,,–,4 кв. 2018 года,,,,"новостройка, 
            монолитный",свободная,15 961 687 руб.,2 / 14
227,–,двор,"0,02 м",,"7
                мин.
                
                    пешком","13,4 м2","[37.722945,55.811401]",1 пасс.,"Бульвар Рокоссовского,","26,5 м2",,,13.4 м2,"6,8 м2",,косметический,,,1,,,"вторичка, 
            кирпичный",свободная,4 600 000 руб.,2 / 5
