,title,date,views
285,Еврокомиссия одобрила покупку Nissan доли в Mitsubishi,"6 октября, 17:50",2 586
286,Экс-главу Коми заключили под домашний арест,"6 октября, 17:32",1 862
287,Госдума изменит режим работы для сокращения прогулов,"6 октября, 17:24",1 933
288,СМИ узнали об отказе Обамы одобрить санкции против России по Сирии,"6 октября, 16:54",4 945
289,Россия объявила о планах сбивать американские ракеты в Сирии,"6 октября, 16:20",21 308
290,Правительство подтвердило разрешение «Роснефти» купить «Башнефть»,"6 октября, 16:11",1 479
291,Путин уволил своего бывшего охранника с поста калининградского губернатора,"6 октября, 15:41",36 127
292,Стоимость нефти WTI превысила отметку в $50 за баррель,"6 октября, 15:38",1 328
293,Чеченский омбудсмен не нашел нарушений в детских боях в Грозном,"6 октября, 15:34",7 300
294,Дачный кооператив Володина оштрафовали за забор у Истры,"6 октября, 15:14",2 997
295,Главу Палестины Махмуда Аббаса госпитализировали,"6 октября, 15:02",1 678
296,СМИ узнали о полученной «Роснефтью» директиве на покупку «Башнефти»,"6 октября, 14:58",10 969
297,Проверку боев сыновей Кадырова доверили чеченскому омбудсмену,"6 октября, 14:45",8 528
298,Аналитики Credit Suisse пообещали рублю дальнейшее укрепление,"6 октября, 14:33",1 997
